title,herb,shrb,smll_tree,lrg_tree,habitat_complexity,ndvi,connected_greenspace_point6_area,connected_greenspace_point8_area,connected_tree_5m_area,days_into_survey,year,hour_of_day,survey_square,land_use
298 11,0.209,0.08,0.059,0.032,0.69,0.37,0,0,0,47,2024,15,298,Private residential
363 2,0.28,0.102,0.171,0.34,0.94,0.7,0.1,0,0.04,47,2024,14,363,Other
363 8,0.297,0.138,0.094,0.067,0.88,0.51,0.1,0.04,0.01,47,2024,14,363,Other
363 6,0.339,0.104,0.096,0.074,0.87,0.52,0.1,0.03,0.01,47,2024,14,363,Other
363 4,0.373,0.155,0.096,0.108,0.93,0.67,0.1,0.07,0.1,47,2024,14,363,Other
1033 9,0.314,0.128,0.11,0.063,0.89,0.48,0,0,0,34,2024,17,1033,Public park
971 4,0.514,0.054,0.068,0.226,0.81,0.68,0,0,0,34,2024,16,971,Public cemetery
971 9,0.581,0.03,0.056,0.184,0.74,0.68,0,0,0,34,2024,16,971,Public cemetery
971 2,0.382,0.067,0.075,0.213,0.89,0.64,0,0,0,34,2024,16,971,Public cemetery
971 7,0.433,0.106,0.09,0.054,0.84,0.43,0,0,0,34,2024,16,971,Public residential
1004 12,0.692,0.069,0.061,0.046,0.64,0.5,1,0,0.37,34,2024,15,1004,Other
1004 5,0.859,0.052,0.052,0.036,0.36,0.76,1,0.01,0.37,34,2024,15,1004,Other
1004 6,0.533,0.093,0.148,0.176,0.81,0.79,1,0.01,0.37,34,2024,15,1004,Other
1004 3,0.302,0.083,0.171,0.445,0.77,0.79,1,0.01,0.37,34,2024,15,1004,Other
1004 9,0.517,0.096,0.113,0.219,0.82,0.72,1,0.01,0.37,34,2024,14,1004,Other
941 8,0.423,0.147,0.125,0.129,0.93,0.68,1,0,0.05,34,2024,14,941,Other
941 7,0.487,0.186,0.112,0.142,0.86,0.78,1,0,0.05,34,2024,14,941,Other
1007 10,0.594,0.052,0.034,0.021,0.64,0.47,0,0,0,34,2024,14,1007,Public cemetery
1007 2,0.383,0.044,0.059,0.131,0.82,0.54,0,0,0,34,2024,13,1007,Public cemetery
1007 6,0.363,0.097,0.056,0.026,0.76,0.41,0,0,0,34,2024,13,1007,Other
686 9,0.11,0.019,0.011,0.01,0.34,0.25,0,0,0,24,2024,17,686,Public carpark
686 4,0.606,0.067,0.043,0.013,0.65,0.77,0.07,0,0,24,2024,17,686,Other
686 1,0.491,0.126,0.049,0.013,0.74,0.63,0.07,0,0.01,24,2024,17,686,Other
686 11,0.327,0.049,0.047,0.092,0.77,0.43,0,0,0,24,2024,17,686,Public residential
